"module","file","key","english","chinese","context","placeholders","notes"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","accessibilityGroupName","Accessibility","辅助功能","Core 相关界面中的辅助功能说明（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","addButtonTitle","Apply","应用","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","addConflictCommandStylesText","Conflicts with command: ","与此命令冲突: ","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","addLocalRepoText","Add Local Repository","添加本地仓库","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","addMaskedCommandStylesText","Masked by RStudio command: ","被 RStudio 命令覆盖: ","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","addShiftPTag","Add Shift to zoom (maximize) pane.","按住 Shift 可缩放（最大化）窗格。","Core 相关界面中的界面文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","anchorHomeText","Home","主页","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","applyThemeButtonText","Apply","应用","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","backButtonText","Back","后退","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","browseFolderCaption","Go To Folder","转到文件夹","Core 相关界面中的标题（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","browseFolderLabel","Path to folder (use ~ for home directory):","文件夹路径（使用 ~ 表示主目录）:","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","buildGroupName","Build","构建","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","busyLabel","Busy","忙碌","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","buttonAddCaption","Add...","添加...","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","buttonRemoveCaption","Remove","移除","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","cancelLabel","Cancel","取消","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","caseSensitive","Case sensitive","区分大小写","Core 相关界面中的界面文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","chooseFileCaption","Choose File","选择文件","Core 相关界面中的标题（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","clearLabel","Clear","清除","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","closeAllMenuItem","Close All","全部关闭","Core 相关界面中的菜单项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","closeButtonText","Close {0} tab","关闭“{0}”标签页","Core 相关界面中的按钮或操作项（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","closeMenuItem","Close","关闭","Core 相关界面中的菜单项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","closeOthersMenuItem","Close All Others","关闭其他所有标签页","Core 相关界面中的菜单项（CoreClient 资源）。","","同一个英文原文在其他 key 中存在不同中文译法"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","closePopupText","Close popup","关闭弹出窗口","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","closeTabText","Close document tab","关闭文档标签页","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","closeText","Close","关闭","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","cloudHomeText","Cloud","云端","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","completedText","{0} completed","{0} 已完成","Core 相关界面中的标签或显示文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","consoleGroupName","Console","控制台","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","copyPathMenuItem","Copy Path","复制路径","Core 相关界面中的菜单项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","copyToClipboardLabel","Copy to Clipboard","复制到剪贴板","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","createButtonTitle","Create","创建","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","customizeKeyboardHelpLink","Customizing Keyboard Shortcuts","自定义键盘快捷键","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","debugGroupName","Debug","调试","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","dialogErrorText","Error","错误","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","dialogInfoText","Info","信息","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","dialogPopupBlockedText","Popup Blocked","弹出窗口已被阻止","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
